Product,Sub-product,Issue,Sub-issue,Complaint,Company,State,Submitted via,Company response to consumer,Timely response?,Cleaned_Complaint
Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,"received notice from collection agency with no information of original account or product. Called them, put on hold then sent to message center but their mail box was full and was disconnected. Amount is only {$5.00} so seems like fraud -- too small amount to worry about so pay it may be desired response.? 
",Transworld Systems Inc.,CA,Web,Closed with explanation,Yes,received notice collection agency information original account product called put hold sent message center mail box full disconnected amount seems like fraud small amount worry pay may desired response
Credit card,,Identity theft / Fraud / Embezzlement,,"Fraudulent charges were made on my Macy 's card XXXX 2015. Despite repeated phone conversations and documents filed, the Macy 's credit department continues to treat us as deadbeats, and they call us repeatedly for payment. Each time we talk to the fraud department, they claim they have no knowledge of our dispute. This week marks the third time we have sent in a fraud claim form.",Citibank,TX,Web,Closed with monetary relief,Yes,fraudulent charge made macy card xxxx despite repeated phone conversation document filed macy credit department continues treat u deadbeat call u repeatedly payment time talk fraud department claim knowledge dispute week mark third time sent fraud claim form
Debt collection,Mortgage,Taking/threatening an illegal action,Seized/Attempted to seize property,"My account was reassigned to this company effective XXXX 2015. When I XXXX received their bill notice, it stated I was 90 days over due. When I phoned & spoke with a person, I informed them that my account was just reassigned as of this month. They kept telling me I was 90 days behind. I paid the balance on XXXX, and I recently received a bill with an outstanding balance and added charges. A person arrived to my residence today, XXXX & handed me a note to call mortgage company. It was the wrong mortgage company. He started to take pictures of my residence. This debt collection company is acting as if I have not paid the balance due. They have initiated steps towards a "" foreclosure '' on my residence. 
",Specialized Loan Servicing LLC,CA,Web,Closed with explanation,Yes,account reassigned company effective xxxx xxxx received bill notice stated day due phoned spoke person informed account reassigned month kept telling day behind paid balance xxxx recently received bill outstanding balance added charge person arrived residence today xxxx handed note call mortgage company wrong mortgage company started take picture residence debt collection company acting paid balance due initiated step towards foreclosure residence
Mortgage,Conventional fixed mortgage,Settlement process and costs,,"XXXX/XXXX/XXXX Nationstar Mortgage XXXX XXXX XXXX XXXX XXXX, Texas XXXX Thank you for the copies of the loan modification. As you can see or should be able to see, this is only a copy of the XXXX Trail Period '' XXXX had put us on and then extended it for approximately a year or better. 
So the papers you sent me are not what I asked for or have been asking for. I am looking for the completed modification with all the documentation on how we went from a fixed 30 year interest of XXXX and why it increased to XXXX last XXXX, XXXX, and is going up to XXXX this XXXX XXXX. I know that this is still a relatively low interest rate, but going up 2 % is a hardship on us when my mom is on a fixed income of Social Security and my take home pay is less than when I started my job six years ago because of the increase in cost of my share of my portion of my health insurance. I know this is not your problem and that you really do n't care. My point is that by law I have a right to see these documents and I ca n't tell you the number of times I have called and requested them and you keep sending me a copy of the trial period and not the finalized modification. I want to see in writing please how it was decided that my interest rate would go up, the number of points that were added, how much was charged for doing the modification and if the balance of the difference between our regular mortgage payment and the trial modification was added back into the loan. We never received a copy of this and like any other financial institution if you are refinancing, having a closing or taking out a loan, all parties should see the documents and agree to the terms and conditions. Until I receive a copy of the documents, I can not agree to the increase to 4.75 %. 
I feel I have been very patient in this matter, but I am very frustrated. I have spoken to so many of your customer service representatives, the one I 'll never forget is the XXXX XXXX said it was none of my business on how the figures were arrived at. And the other XXXX was a written correspondence from Nationstar saying an audit was done on my file and everything checked out fine, but then why ca n't I get a copy of what I 'm looking for? I 'm wondering if anyone else has these issues or am I just the lucky XXXX. 
I hope the next correspondence I receive from you is what I am requesting. 
I have been trying to get a straight answer from you for years and since you have yet to supply me with the documents I am requesting, I feel you are hiding something like it 's a predatory loan. The only signature on file for us is the trial modification. We never signed thee final modification and that 's why we have n't received it. 

Sincerely, XXXX XXXX",Nationstar Mortgage,CT,Web,Closed with explanation,Yes,xxxxxxxxxxxx nationstar mortgage xxxx xxxx xxxx xxxx xxxx texas xxxx thank copy loan modification see able see copy xxxx trail period xxxx put u extended approximately year better paper sent asked asking looking completed modification documentation went fixed year interest xxxx increased xxxx last xxxx xxxx going xxxx xxxx xxxx know still relatively low interest rate going hardship u mom fixed income social security take home pay less started job six year ago increase cost share portion health insurance know problem really nt care point law right see document ca nt tell number time called requested keep sending copy trial period finalized modification want see writing please decided interest rate would go number point added much charged modification balance difference regular mortgage payment trial modification added back loan never received copy like financial institution refinancing closing taking loan party see document agree term condition receive copy document agree increase feel patient matter frustrated spoken many customer service representative one never forget xxxx xxxx said none business figure arrived xxxx written correspondence nationstar saying audit done file everything checked fine ca nt get copy looking wondering anyone else issue lucky xxxx hope next correspondence receive requesting trying get straight answer year since yet supply document requesting feel hiding something like predatory loan signature file u trial modification never signed thee final modification nt received sincerely xxxx xxxx
Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Chase will not release the remaining funds from the insurance settlement I received as a result of storm damage my home received last winter. The amount they are holding is approximately XXXX. The give me inconsistent answers as to why they are holding back the funds. 
",JPMorgan Chase & Co.,MA,Web,Closed with explanation,Yes,chase release remaining fund insurance settlement received result storm damage home received last winter amount holding approximately xxxx give inconsistent answer holding back fund
Mortgage,FHA mortgage,"Application, originator, mortgage broker",,"The lender iMortgage provided false information on my FHA loan ( 5 year ARM ) which was closed last XXXX XXXX. I was told that I would get the balance of the upfront PMI refunded when I do a refi. The upfront PMI was {$7600.00} for 3 years and I would get the remaining balance refunded depending on when the refi is done. That did not happen. 

I was in the process of applying for the refi with a different lender in XXXX this year ( XXXX ) when I decided to check again with iMortgage and they confirmed that I would get the refund. I also asked them if i had to refi into another FHA loan in order to get the refund and they said I did not, it was not a requirement. I of course trusted their knowledge of the loan rules, regulations, programs and whatnot, so I went with a 30 year fixed conventional. Since iMortgage assured me of the upfront PMI refund from HUD, which would have been a little over $ XXXX, I decided to buy down points on the refi. The buy down costed me about $ XXXX. 

After months of not seeing anything from HUD, I asked iMortgage again and they assured me that it was coming soon. It was not until this XXXX XXXX that I XXXX around and found the contact number for HUD and called them. HUD informed me that the refund program had ended on XXXX XXXX, XXXX, and in order to get a refund after that date, it is required that the refi is with another FHA loan. I then emailed iMortgage on XXXX XXXX asking for explanation and what options I may have, but have not received a response since. 

If I had known the upfront PMI is not refundable I would have gone with other options and for sure would have not bought down points on the refi, or even look into refinancing another FHA loan. We have been saving every penny for this house and had budgeted with the refund in mind, so now we are out $ XXXX really hurts. I have all the email conversations with iMortgage regarding the upfront PMI refund saved and ready to provide as proof. 

Please let us know what options we have. Your assistance is greatly appreciated. 

Thank you! 
",LoanDepot,CA,Web,Closed with explanation,Yes,lender imortgage provided false information fha loan year arm closed last xxxx xxxx told would get balance upfront pmi refunded refi upfront pmi year would get remaining balance refunded depending refi done happen process applying refi different lender xxxx year xxxx decided check imortgage confirmed would get refund also asked refi another fha loan order get refund said requirement course trusted knowledge loan rule regulation program whatnot went year fixed conventional since imortgage assured upfront pmi refund hud would little xxxx decided buy point refi buy costed xxxx month seeing anything hud asked imortgage assured coming soon xxxx xxxx xxxx around found contact number hud called hud informed refund program ended xxxx xxxx xxxx order get refund date required refi another fha loan emailed imortgage xxxx xxxx asking explanation option may received response since known upfront pmi refundable would gone option sure would bought point refi even look refinancing another fha loan saving every penny house budgeted refund mind xxxx really hurt email conversation imortgage regarding upfront pmi refund saved ready provide proof please let u know option assistance greatly appreciated thank
Credit reporting,,Incorrect information on credit report,Account status,XXXX XXXX XXXX XXXX reported around 6 late payments while all my payments and current and no late since they approved my loan Modification. I have documents showing my loan commencement with XXXX XXXX XXXX XXXX. My first modified payment began XXXX/XXXX/2014 and others payments required by XXXX XXXX XXXX XXXX were done onXX/XX/XXXX/XX/XX/XXXX XX/XX/XXXX XX/XX/XXXX and XX/XX/2014 in the amount of {$1400.00} each month and on time,"TransUnion Intermediate Holdings, Inc.",FL,Web,Closed with explanation,Yes,xxxx xxxx xxxx xxxx reported around late payment payment current late since approved loan modification document showing loan commencement xxxx xxxx xxxx xxxx first modified payment began xxxxxxxx others payment required xxxx xxxx xxxx xxxx done onxxxxxxxxxxxxxxxx xxxxxxxx xxxxxxxx xxxx amount month time
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"I received XXXX phone calls on my home and cell phone number. I returned XXXX calls, verified that it was a different person with the same first and last name ( but different middle name, birth date, etc. ) On each phone call asked them to cease contacting me. Received XXXX a letter demanding payment. Called again and asked to be removed. 
","FAIR COLLECTIONS & OUTSOURCING, INC.",MA,Web,Closed with explanation,Yes,received xxxx phone call home cell phone number returned xxxx call verified different person first last name different middle name birth date etc phone call asked cease contacting received xxxx letter demanding payment called asked removed
Payday loan,Payday loan,Charged fees or interest I didn't expect,Charged fees or interest I didn't expect,"This loan has a XXXX APR I 'm pay XXXX every two weeks for one year on a XXXX loan I tried paying them off early only to get the run around as if the phone had a bad connection and I tried going online to pay them off and they said I could because I still had two more days before my due date and that I could n't use another debit card to pay off the loan 
","Big Picture Loans, LLC",GA,Web,Closed with explanation,Yes,loan xxxx apr pay xxxx every two week one year xxxx loan tried paying early get run around phone bad connection tried going online pay said could still two day due date could nt use another debit card pay loan
Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,"Disputed unauthorized inquiry on my credit reports ; Equifax & XXXX stated I needed to send letter to company who placed inquiry and state it was fraudulent and request removal. Sent letter to XXXX and XXXX stated it was for review process ; but did n't open account until XX/XX/XXXX. Inquiries are for XX/XX/XXXX, XX/XX/XXXX, & XX/XX/XXXX XXXX was for XXXX XXXX. Never requested credit from company those dates. 
",Equifax,GA,Web,Closed with explanation,Yes,disputed unauthorized inquiry credit report equifax xxxx stated needed send letter company placed inquiry state fraudulent request removal sent letter xxxx xxxx stated review process nt open account xxxxxxxx inquiry xxxxxxxx xxxxxxxx xxxxxxxx xxxx xxxx xxxx never requested credit company date
Credit card,,APR or interest rate,,"I have had a credit card with CitiBank since XX/XX/XXXX. Unfortunately, I missed the first payment because I was not accustomed to having another payment, and they raised the interest to the penalty rate 29.99 %. From that point XX/XX/XXXX, I have had on time payments. They have only reduced my interest rate to 28.74 %. When I questioned them, they said it was their prerogative when to lower it. 
I thought after 6 months of consecutive on time payments they had to return it back to the pre penalty interest rate? They refuse to talk to me, and only direct me to "" send it in writing '' to a generic PO Box address.",Citibank,TX,Web,Closed with non-monetary relief,Yes,credit card citibank since xxxxxxxx unfortunately missed first payment accustomed another payment raised interest penalty rate point xxxxxxxx time payment reduced interest rate questioned said prerogative lower thought month consecutive time payment return back pre penalty interest rate refuse talk direct send writing generic po box address
Credit card,,Advertising and marketing,,"I was coerced into opening a new account with american express with misleading signup offers. The offer completely contradicted what was actually offered ( nothing at all ). I have contacted amex to resolve and they pointed out another offer, and did not address my concerns directly at all. 

Fraudulent marketing specifically to mislead consumers. 
",Amex,FL,Web,Closed with explanation,Yes,coerced opening new account american express misleading signup offer offer completely contradicted actually offered nothing contacted amex resolve pointed another offer address concern directly fraudulent marketing specifically mislead consumer
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"This company is charging me for a debt that is not mine. I had a lease with my wife, we separated finished our lease she renewed by herself I never signed anything and I guess she broke the lease and now this company has a collection on my credit report which is wrong. I need help as I tried to resolve myself and could n't even obtain the validation",Rent Recovery Solutions,MO,Web,Closed with explanation,Yes,company charging debt mine lease wife separated finished lease renewed never signed anything guess broke lease company collection credit report wrong need help tried resolve could nt even obtain validation
Payday loan,Payday loan,Can't contact lender,Can't contact lender,"For the last three months I have been harassed by Portfolio Recovery Associates alleging that I owe a payday loan from XXXX. I have no knowledge, no paperwork, no site information or no loan number of this payday loan they allege in the amount of {$300.00}. Secondly, the statute of limitations has expired in California for them to collect on this "" alleged '' debt. I have sent them a cease and desist letter, yet they keep calling my home and my daughter 's cell phone. Apparently the lawsuit executed by CFPB against them has not worked as they are still using false and erroneous information and threat tactics ( they threatened me over the phone with a "" warrant '' ) to get money that they can not even prove that I owe. And even if I did owe it, ( I 'm not saying that I did owe it ), the statute of limitations to collect on debts in California is 4 years. We also declared Chapter XXXX bankruptcy in XXXX, which was discharged XXXX/XXXX/XXXX. 
","Portfolio Recovery Associates, Inc.",CA,Web,Closed with explanation,Yes,last three month harassed portfolio recovery associate alleging owe payday loan xxxx knowledge paperwork site information loan number payday loan allege amount secondly statute limitation expired california collect alleged debt sent cease desist letter yet keep calling home daughter cell phone apparently lawsuit executed cfpb worked still using false erroneous information threat tactic threatened phone warrant get money even prove owe even owe saying owe statute limitation collect debt california year also declared chapter xxxx bankruptcy xxxx discharged xxxxxxxxxxxx
Credit card,,Other,,"On XXXX XXXX, 2016 XXXX submited a credit inquiry on my behalf unauthorized. I found out about the pull on my credit as I am in the process of purchasing a home and going through the mortgage process. I did not know what "" XXXX '' was, but 5 minutes of diligence turned up a result that it was PayPal Credit and that the CFPB had taken action against PayPal Credit for similar practices within the last year. They do not seem to have ceased making unauthorized credit inquiries and I am concerned about the impact it will have on my mortgage application process. I do not currently know the damage but it could be significant if the rates on my mortgage increase based on the decreased credit score. 
","PayPal Holdings, Inc.",TX,Web,Closed with explanation,Yes,xxxx xxxx xxxx submited credit inquiry behalf unauthorized found pull credit process purchasing home going mortgage process know xxxx minute diligence turned result paypal credit cfpb taken action paypal credit similar practice within last year seem ceased making unauthorized credit inquiry concerned impact mortgage application process currently know damage could significant rate mortgage increase based decreased credit score
Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,"They were to remove this from my credit and are reporting it to XXXX 
","Commonwealth Financial Systems, Inc.",IL,Web,Closed with explanation,Yes,remove credit reporting xxxx
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"I have a relatively new phone number. The company cross-referenced my number to an old XXXX debt that is not mine. 
I have explained to the caller, twice, that this is not my debt and that they have the wrong person. Once I gave them that information I stopped communicating with them. They call everyday and leave a message that I owe money to them that I used to owe to XXXX. That they have been authorized by XXXX to collect and that I need to call them back and pay up. 
The name of the company is : Enhanced Recovery Systems,XXXX XXXX XXXX, XXXX , FL XXXX ( XXXX ) XXXXIf you do an internet search of this company you will find dozens of complaints against their tactics. 
",ERC,WI,Web,Closed with non-monetary relief,Yes,relatively new phone number company crossreferenced number old xxxx debt mine explained caller twice debt wrong person gave information stopped communicating call everyday leave message owe money used owe xxxx authorized xxxx collect need call back pay name company enhanced recovery systemsxxxx xxxx xxxx xxxx fl xxxx xxxx xxxxif internet search company find dozen complaint tactic
Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,"I am filing this complaint because my right has been violated. Please advise Savit Collection Agency to stop harrasing me with their phone calls. I am not indebted to them. 
XXXX XXXX scheduled my son at XXXX XXXX XXXX XXXX ( XXXX ) about two months before the XXXX date. At this time, I presented my health insurance card to his staff and she made a copy. On XXXX/XXXX/2014, XXXX representative called to confirm and verify my insurance ; and I informed them to use only personnel on XXXX XXXX XXXX. The purpose of the insurance card was to prepare personnels who are on network. 
On the day of the procedure, XXXX went to use NJ XXXX that is not on network. My insurance issued a check commensurate with what they would have paid for such services if they had used anyone on network. Unfortunately, NJ XXXX sent my data to Savit Collection Agency. 
It is not my fault that a personnel that is not on my insurance network was used. I was never consulted or informed before they used such service. 
Savit Collection Agency should please go after whoever made the schedule without considering my health insurance card that i presented and verified. Also, they should stop calling me concerning this debt 
","Sa-Vit Enterprises, Inc.",NJ,Web,Closed with explanation,Yes,filing complaint right violated please advise savit collection agency stop harrasing phone call indebted xxxx xxxx scheduled son xxxx xxxx xxxx xxxx xxxx two month xxxx date time presented health insurance card staff made copy xxxxxxxx xxxx representative called confirm verify insurance informed use personnel xxxx xxxx xxxx purpose insurance card prepare personnel network day procedure xxxx went use nj xxxx network insurance issued check commensurate would paid service used anyone network unfortunately nj xxxx sent data savit collection agency fault personnel insurance network used never consulted informed used service savit collection agency please go whoever made schedule without considering health insurance card presented verified also stop calling concerning debt
Money transfers,Domestic (US) money transfer,Other transaction issues,,"Still have n't received XXXX refunds to my debit card for {$5000.00} each back in XXXX 2015 my bank XXXX says they never received them after I contacted PayPal to get the tracking numbers and gave it to them they still could n't find them. I would like a cashiers check or official checked mailed to me to the address on file immediately or I 'm going to sue this company for XXXX in punitive damages and emotional distress! 
","PayPal Holdings, Inc.",LA,Web,Closed with explanation,Yes,still nt received xxxx refund debit card back xxxx bank xxxx say never received contacted paypal get tracking number gave still could nt find would like cashier check official checked mailed address file immediately going sue company xxxx punitive damage emotional distress
Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,"I received a phone call today from XXXX and XXXX claiming that if I did not pay {$900.00} within an hour that papers would be served. I contacted the original creditor, XXXX Bank who provided me with information on where the account was sold. This account was sold to XXXX XXXX XXXX who then sold it to XXXX XXXX who then sold it to XXXX for {$240.00} who then sold it to XXXX XXXX for {$240.00} who sold it to XXXX XXXX on XXXX/XXXX/2015 which was yesterday. XXXX claimed to have sold it to Western Portfolio Assets the same day. Western Portfolio Assets claimed their sister office, XXXX XXXX XXXX has the account. When I spoke to them and asked for a validation document from the original creditor they stated they do not have to since they now own the debt. 
How does the said debt go from {$240.00} to {$900.00}? This company who according to the Chain of Title just received ownership of the debt yesterday and has claimed to sent letters to my address over 30 days ago. I have never received a letter from this company or any company regarding this debt. They are threatening to take me to court if I do not pay the {$900.00} or an agreed upon amount within the hour. This debt is not on any XXXX of my credit reports. 
",Western Portfolio Assets,OH,Web,Closed,No,received phone call today xxxx xxxx claiming pay within hour paper would served contacted original creditor xxxx bank provided information account sold account sold xxxx xxxx xxxx sold xxxx xxxx sold xxxx sold xxxx xxxx sold xxxx xxxx xxxxxxxx yesterday xxxx claimed sold western portfolio asset day western portfolio asset claimed sister office xxxx xxxx xxxx account spoke asked validation document original creditor stated since debt said debt go company according chain title received ownership debt yesterday claimed sent letter address day ago never received letter company company regarding debt threatening take court pay agreed upon amount within hour debt xxxx credit report
Credit card,,APR or interest rate,,"I have an account with the Synchrony XXXX.  They offer no interest for a certain amount of time which I have used and paid the amount off within that time limit.  A flooring company used this card and I asked for XXXX year no interest which I had done before with a lessor amount charged.  In XXXX months I saw that the amount was due so I called the company and explained the XXXX year request and the representative of the company assured me that they would honor that and give me an additional XXXX months.  The next month I discovered that they had not and I owed more than the original charge when the XXXX month interest (30%) was added in.  I called back and the person I talked to and her supervisor said ""tough luck"".  They would not give me the extra XXXX months that the other had promised.  I would have paid it off if I had known I wouldn't have the extra time.",Synchrony Financial,OR,Web,Closed with monetary relief,Yes,account synchrony xxxx offer interest certain amount time used paid amount within time limit flooring company used card asked xxxx year interest done lessor amount charged xxxx month saw amount due called company explained xxxx year request representative company assured would honor give additional xxxx month next month discovered owed original charge xxxx month interest added called back person talked supervisor said tough luck would give extra xxxx month promised would paid known wouldnt extra time
Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Called after sent written cease of comm,"On XXXX XXXX, 2015, I received a letter from Central Credit Services LLC, dated XXXX XXXX, 2015, attempting to collect a debt I allegedly owed XXXX. On XXXX XXXX, 2015, I sent a certified letter to Central Credit Services ( i ) denying that I owed the debt ; XXXX ii XXXX demanding that they cease attempts to collect the debt or contact me until they could satisfactorily demonstrate the validity of this debt ; XXXX iii XXXX stating that any further contact should be in writing to a specified address and only for certain limited purposes ; and XXXX iv ) directing them to refrain from reporting any negative information to a credit agency. This letter was delivered to Central Credit Services on XXXX XXXX, 2015. 
Subsequently, on XXXX XXXX, 2015 XXXX I received a call from XXXX. The caller would not identify herself at first ; only after multiple requests on my part, did the caller acknowledge that she was calling on behalf of Central Credit Services. I told the caller that I had disputed the debt and directed them not to contact me, that calling me was a violation of the FDCPA, and that I would be filing a complaint against the company. 
",Radius Global Solutions LLC,DC,Web,Closed with explanation,Yes,xxxx xxxx received letter central credit service llc dated xxxx xxxx attempting collect debt allegedly owed xxxx xxxx xxxx sent certified letter central credit service denying owed debt xxxx ii xxxx demanding cease attempt collect debt contact could satisfactorily demonstrate validity debt xxxx iii xxxx stating contact writing specified address certain limited purpose xxxx iv directing refrain reporting negative information credit agency letter delivered central credit service xxxx xxxx subsequently xxxx xxxx xxxx received call xxxx caller would identify first multiple request part caller acknowledge calling behalf central credit service told caller disputed debt directed contact calling violation fdcpa would filing complaint company
Debt collection,Medical,Improper contact or sharing of info,Contacted me after I asked not to,"This is a XXXX complaint ... I am not seeing my situation as a choice so I chose Contact me after I asked not to ... The FIRST is that this purported debt collector, ARS, Account Resolution Specialist has been calling me for months to over a year and continually asks me for my personal information over the phone. There is no way for me to know who I am speaking with. When I refuse to give out my information, even after I say that I am myself, they hang up. This is harassing in nature. If they have my information and call me they should say what they have to say ... not continue to call me and ask me for my personal information. They are not accomplishing anything other than to PHISH for my information and seems to be a very unethical business practice. I suspect, but do not know for sure, that they are trying to collect for a medical bill which leads to the SECOND related complaint ... I suspect the debt is possibly from XXXX XXXX XXXX in XXXX XXXX ( I was very ill about 2 years ago and had to see several doctors ) XXXX seems to regularly and frequently sell their debts to varied collectors. If this is the case, then XXXX too is at fault in that when I call XXXX I am told I have one balance which on its face seems as if the insurance company has paid something else, but in reality there seem to be additional remaining debts attributable to XXXX that are impossible to track because XXXX has cast bits and pieces of the debt out to varied collectors and XXXX is either unwilling or unable to provide the debtor 's information to me. There is no way for me to have an accurate accounting of what I owe. This is unduly burdensome and virtually impossible to track. I received the most recent call on XXXX/XXXX/16 about XXXX CST. Also my father was in XXXX long ago XXXX and I am not comfortable including his information in this site. 
","HCFS Health Care Financial Services, Inc.",LA,Web,Closed with explanation,Yes,xxxx complaint seeing situation choice chose contact asked first purported debt collector ar account resolution specialist calling month year continually asks personal information phone way know speaking refuse give information even say hang harassing nature information call say say continue call ask personal information accomplishing anything phish information seems unethical business practice suspect know sure trying collect medical bill lead second related complaint suspect debt possibly xxxx xxxx xxxx xxxx xxxx ill year ago see several doctor xxxx seems regularly frequently sell debt varied collector case xxxx fault call xxxx told one balance face seems insurance company paid something else reality seem additional remaining debt attributable xxxx impossible track xxxx cast bit piece debt varied collector xxxx either unwilling unable provide debtor information way accurate accounting owe unduly burdensome virtually impossible track received recent call xxxxxxxx xxxx cst also father xxxx long ago xxxx comfortable including information site
Debt collection,Credit card,Communication tactics,Called outside of 8am-9pm,"This is in reference to Barclay Card. They are not only calling outside of the XXXX - XXXX timeframe, which I have a log of when they call, but they have repeatedly called me at work at XXXX. When they call at work, I am on a recorded and monitored line and I could be fired for such calls.",Barclays PLC,FL,Web,Closed with explanation,Yes,reference barclay card calling outside xxxx xxxx timeframe log call repeatedly called work xxxx call work recorded monitored line could fired call
Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Sir Madam Each month I receive statements ( demands for payment ) XXXX for the following month and XXXX for the month that has been paid but dosement acknowledge that payment. I want Chase Bank to stop sending us a demand for payment, for a period that has already been paid. Just to be clear we receive XXXX bills for every loan that we have. This is confusing and will eventually cause a laps in payment or an over payment. Which I want to avoid both they are blaming the federal government. I would like to have any payments already made to be acknowledged since we pay the stated amount before the statement is sent. If the statement amount has already been paid the statement should at least state that. This practice is bound to cause a mistake that will cost me money for a late payment or something like that. 
I would like to point out that JP Morgan Chase bank is a convicted felon, convicted by due process of law and as I understand they have admitted to these wrong doings. 
I also do n't think you the c.f.p.b. will not intervene in this case you people have been of no help in the past XXXX XXXX 
",JPMorgan Chase & Co.,CA,Web,Closed with explanation,Yes,sir madam month receive statement demand payment xxxx following month xxxx month paid dosement acknowledge payment want chase bank stop sending u demand payment period already paid clear receive xxxx bill every loan confusing eventually cause lap payment payment want avoid blaming federal government would like payment already made acknowledged since pay stated amount statement sent statement amount already paid statement least state practice bound cause mistake cost money late payment something like would like point jp morgan chase bank convicted felon convicted due process law understand admitted wrong doings also nt think cfpb intervene case people help past xxxx xxxx
Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"Bank of America is my investor for my XXXX mortgage and XXXX XXXX is my servicer. No one seems to be able to tell me why I did n't qualify for the National Mortgage Settlement to lower my principal or get refinanced for a lower interest for my XXXX mortgage that is owned by Bank of America. I would like to be able to refinance for today 's low rates per the settlement agreement. I keep getting the run around and was actually told by a Bank of America employee that Bank of America does not own any loans and that I must be mistaken. 
",Bank of America,OH,Web,Closed with explanation,Yes,bank america investor xxxx mortgage xxxx xxxx servicer one seems able tell nt qualify national mortgage settlement lower principal get refinanced lower interest xxxx mortgage owned bank america would like able refinance today low rate per settlement agreement keep getting run around actually told bank america employee bank america loan must mistaken
Consumer Loan,Vehicle loan,Taking out the loan or lease,,"I cosigned on a vehicle for my son. Originally the dealer put the loan in my name with my son as to co-buyer. After I discovered this I had the dealer redo the loan and put my son as the buyer and myself as the co-buyer. 
The dealership did not file the corrected loan paperwork with Toyota Finance. 
",Toyota Motor Credit Corporation,OH,Web,Closed with explanation,Yes,cosigned vehicle son originally dealer put loan name son cobuyer discovered dealer redo loan put son buyer cobuyer dealership file corrected loan paperwork toyota finance
Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"I had a valid short sale offer in and Nationstar backed-doored my file and 'sold ' my home on XXXX, though I highly doubt that they fulfilled all of the XXXX County MLS requirements in order to do so ; the home went back to Nationstar . They stalled my short sale file out to 'sell ' the property on their own terms. 
The BPO came in at XXXX. My offer was for XXXX, with XXXX down. 
XXXX XXXX ( me, the owner ) has had several XXXX attributed to the entire foreclosure/short sale process. XXXX XXXX ( my wife and co-owner ) has XXXX. The entire process has been very traumatic to both of us and now I have been foreclosed on. 
I had a valid offer in the XXXX system and have been working on this file for close to a year with my agent, XXXX XXXX, who has been a God send to both of us throughout this very trying process. Nationstar initially tried to sell our home on their auction site ( XXXX ), but he was able to stop them once he listed all of the MLS requirements in order to do so ( see attached ). 

I am also attaching the following : Purchase contractListing agreementHardship letterAll correspondence in the XXXX system ( my agent salvaged what he could as the hard files were deleted today ) XXXX sale informationXXXX County MLS requirements to auction a homeHere is what we are ; we are talking about an older married couple in poor health that now has a foreclosure on their credit reports, and for what? The BPO ( appraisal Nationstar did ) came in at XXXX. Nationstar has the 'bid ' starting at over {$1000000.00}, though no bids were received and now it is a bank-owned REO. 

If the short sale is not put back into active review I will be suing Nationstar for the unlawful foreclosure, pain and suffering, and to release the home from REO to complete the short sale process, as well as contacting my Congressman and the media. 

My wife and I did everything asked of us and you gave us no notice of the foreclosure sale date, nor should you have foreclosed, as their was an active short sale file under review at Nationstar in the XXXX system. You stalled the file out over and over again so that you could own our home and sell it on your auction website. The home is worth far less than you think it is and your actions are nothing short of criminal. 

You should be ashamed of yourselves. 

XXXX XXXX & XXXX XXXX 
",Nationstar Mortgage,CA,Web,Closed with explanation,Yes,valid short sale offer nationstar backeddoored file sold home xxxx though highly doubt fulfilled xxxx county ml requirement order home went back nationstar stalled short sale file sell property term bpo came xxxx offer xxxx xxxx xxxx xxxx owner several xxxx attributed entire foreclosureshort sale process xxxx xxxx wife coowner xxxx entire process traumatic u foreclosed valid offer xxxx system working file close year agent xxxx xxxx god send u throughout trying process nationstar initially tried sell home auction site xxxx able stop listed ml requirement order see attached also attaching following purchase contractlisting agreementhardship letterall correspondence xxxx system agent salvaged could hard file deleted today xxxx sale informationxxxx county ml requirement auction homehere talking older married couple poor health foreclosure credit report bpo appraisal nationstar came xxxx nationstar bid starting though bid received bankowned reo short sale put back active review suing nationstar unlawful foreclosure pain suffering release home reo complete short sale process well contacting congressman medium wife everything asked u gave u notice foreclosure sale date foreclosed active short sale file review nationstar xxxx system stalled file could home sell auction website home worth far less think action nothing short criminal ashamed xxxx xxxx xxxx xxxx
